

DATA-FILE  wagenCRP.OUT


Name of run: wagen


Station=  wage , Soil=  1, Crop=  1, Organic m.=  1, Nsoil=  1, Tub.gr.=  0, Leafcl.=  1, Irr.=  0, Pot.p.=  0, CO2=355.

 Planting on day   0, 1971
 Crop emergence on day 130, 1971
 test                                                                            

 CROP PRODUCTION
 ===============
 DAY    WLV    WLD    WST   WSTOT   WRT    WTU    TB-R    TB    LAI   DVS   RD   NPLV  NPLD  NPSTOT NPTU NUP-R NUPTT  RED  REDN    PARINT    PAR
  130    48.     0.    12.    12.    15.    30.    90.   105.   .14   .00  10.0  6.00   .00  3.60   .00   3.3   3.9  1.00  1.00      .0      .0
  140   351.     0.   144.   144.   129.    30.   525.   654.   .73  1.00  28.7  3.75  1.60  1.79   .00  15.7  18.4  1.00  1.00    22.9    91.4
  150   883.     7.   489.   493.   351.   188.  1571.  1925.  2.55  1.09  44.0  2.87  1.60  1.33  1.50  34.9  40.3  1.00   .82    79.2   173.4
  160  1129.    55.   750.   783.   523.  1102.  3069.  3614.  3.17  1.20  50.0  2.68  1.60  1.15  1.17  53.0  59.9   .95   .67   170.2   270.8
  170  1056.   104.   736.   802.   568.  2446.  4408.  5024.  3.00  1.28  50.0  2.80  1.60  1.18   .87  62.0  69.5  1.00   .74   224.8   328.1
  180   982.   141.   684.   777.   559.  4120.  6020.  6648.  2.80  1.38  50.0  2.82  1.60  1.19   .75  70.0  77.8  1.00   .75   287.9   408.2
  190   916.   174.   638.   754.   521.  5992.  7836.  8444.  2.61  1.49  50.0  2.77  1.60  1.15   .70  78.7  86.4   .88   .75   384.5   519.4
  200   839.   213.   584.   727.   478.  7377.  9155.  9742.  2.38  1.60  50.0  2.78  1.60  1.12   .70  86.2  93.5   .90   .73   467.8   615.4
  210   764.   250.   515.   692.   421.  8505. 10212. 10770.  2.16  1.72  50.0  2.72  1.60  1.06   .71  92.6  99.4   .74   .70   524.7   675.1
  220   472.   396.   427.   648.   349.  9430. 10947. 11469.  1.37  1.85  50.0  3.42  1.60   .98   .73  98.1 104.2   .56   .82   591.6   763.6
  230    53.   605.   349.   609.   285. 10124. 11392. 11882.   .16  1.96  50.0  9.37  2.20   .89   .75  99.3 104.6   .49  1.00   617.1   825.9
