

DATA-FILE  wagenWAT.OUT


Name of run: wagen


Station= wage , Soil=  1, Crop=  1, Organic m.=  1, Nsoil=  1, Irr.=  0, Runof= .00, CO2=355.

 Simulation starts on day 130, 1971
 test                                                                            

 SOIL WATER STATUS
 =================
   DAY   WCACT1  WCACT2  WCACT3  WCACT4  WCACT5  WCACT6   WCACT7  WCACT8  WCACT9  WCACT10  TTRANS TDRAIN  TRAIN   TESOIL   TIRR  TRUNOF     WTOT    WAVT    WAVR
   130     .30     .30     .30     .30     .30     .30     .30     .30     .30     .30     .00     .00     .00     .00     .00     .00     30.00   20.00     .00
   131     .22     .28     .30     .30     .30     .30     .30     .30     .30     .30     .00     .00     .00     .35     .00     .00     29.65   19.65     .00
   140     .17     .25     .28     .30     .30     .30     .30     .30     .30     .30     .52    1.88    4.21    2.68     .00     .00     29.13   19.13    4.16
   150     .27     .27     .24     .25     .28     .30     .30     .30     .30     .30    2.19    1.88    6.08    3.68     .00     .00     28.33   18.33    6.56
   160     .12     .17     .16     .18     .20     .24     .30     .30     .30     .30    5.61    1.88    6.08    4.15     .00     .00     24.43   14.43    4.43
   170     .29     .29     .29     .29     .22     .20     .30     .30     .30     .30    7.75    1.88   12.02    4.40     .00     .00     27.99   17.99    7.99
   180     .29     .30     .30     .30     .30     .21     .30     .30     .30     .30   10.29    1.88   15.89    4.72     .00     .00     29.00   19.00    9.00
   190     .14     .20     .23     .23     .23     .15     .30     .30     .30     .30   13.62    1.88   16.01    5.25     .00     .00     25.26   15.26    5.26
   200     .10     .13     .17     .17     .17     .13     .30     .30     .30     .30   16.01    1.88   16.05    5.57     .00     .00     22.59   12.59    2.59
   210     .29     .29     .16     .14     .14     .11     .30     .30     .30     .30   17.54    1.88   18.93    6.05     .00     .00     23.45   13.45    3.45
   220     .28     .29     .24     .12     .12     .11     .30     .30     .30     .30   18.95    1.88   21.38    6.80     .00     .00     23.74   13.74    3.74
   230     .17     .25     .23     .11     .11     .10     .30     .30     .30     .30   19.49    1.88   22.40    8.11     .00     .00     22.92   12.92    2.92
